Codigo BIN	Nombre Variable	Tipo de Dato	Dirección PLC
ACEITE_3	ACEITE_3_Intake_Real	double	db831.dbd316
ACEITE_4	ACEITE_4_Trigger	int	db831.dbw320
ACEITE_4	ACEITE_4_Lote	int	db831.dbw322
ACEITE_4	ACEITE_4_Intake_Real	double	db831.dbd324
Colina	Colina_Trigger	int	db831.dbw328
Colina	Colina_Lote	int	db831.dbw330
Colina	Colina_Intake_Real	double	db831.dbd332
Agua_1	Agua_1_Trigger	int	db831.dbw336
Agua_1	Agua_1_Lote	int	db831.dbw338
Agua_1	Agua_1_Intake_Real	double	db831.dbd340
Agua_2	Agua_2_Trigger	int	db831.dbw344
Agua_2	Agua_2_Lote	int	db831.dbw346
Agua_2	Agua_2_Intake_Real	double	db831.dbd348
Fylax_Interno	Fylax_Interno_Trigger	int	db831.dbw352
Fylax_Interno	Fylax_Interno_Lote	int	db831.dbw354
Fylax_Interno	Fylax_Interno_Intake_Real	double	db831.dbd356
C1_Tanque_2	C1_Tanque_2_Trigger	int	db831.dbw360
C1_Tanque_2	C1_Tanque_2_Lote	int	db831.dbw362
C1_Tanque_2	C1_Tanque_2_Intake_Real	double	db831.dbd364
C1_Tanque_3	C1_Tanque_3_Trigger	int	db831.dbw368
C1_Tanque_3	C1_Tanque_3_Lote	int	db831.dbw370
C1_Tanque_3	C1_Tanque_3_Intake_Real	double	db831.dbd372
C1_Tanque_5	C1_Tanque_5_Trigger	int	db831.dbw376
C1_Tanque_5	C1_Tanque_5_Lote	int	db831.dbw378
C1_Tanque_5	C1_Tanque_5_Intake_Real	double	db831.dbd380
C1_Hacienda	C1_Hacienda_Trigger	int	db831.dbw384
C1_Hacienda	C1_Hacienda_Lote	int	db831.dbw386
C1_Hacienda	C1_Hacienda_Intake_Real	double	db831.dbd388
C2_Tanque_2	C2_Tanque_2_Trigger	int	db831.dbw392
C2_Tanque_2	C2_Tanque_2_Lote	int	db831.dbw394
C2_Tanque_2	C2_Tanque_2_Intake_Real	double	db831.dbd396
C2_Tanque_3	C2_Tanque_3_Trigger	int	db831.dbw400
C2_Tanque_3	C2_Tanque_3_Lote	int	db831.dbw402
C2_Tanque_3	C2_Tanque_3_Intake_Real	double	db831.dbd404
C2_Tanque_5	C2_Tanque_5_Trigger	int	db831.dbw408
C2_Tanque_5	C2_Tanque_5_Lote	int	db831.dbw410
C2_Tanque_5	C2_Tanque_5_Intake_Real	double	db831.dbd412
C2_Hacienda	C2_Hacienda_Trigger	int	db831.dbw416
C2_Hacienda	C2_Hacienda_Lote	int	db831.dbw418
C2_Hacienda	C2_Hacienda_Intake_Real	double	db831.dbd420
Lecitina	Lecitina_Trigger	int	db831.dbw424
Lecitina	Lecitina_Lote	int	db831.dbw426
Lecitina	Lecitina_Intake_Real	double	db831.dbd428
